 - Commit. - Commit.
 Operation: R, Transaction: 1, Entity: X
 Operation: W, Transaction: 1, Entity: X
 Operation: C, Transaction: 1, Entity: -
 Operation: R, Transaction: 2, Entity: X
 Operation: W, Transaction: 2, Entity: X
 Operation: C, Transaction: 2, Entity: - - Commit. - Commit.
 Operation: R, Transaction: 3, Entity: X
 Operation: R, Transaction: 3, Entity: Y
 Operation: W, Transaction: 3, Entity: Y
 Operation: C, Transaction: 3, Entity: -
 Operation: R, Transaction: 4, Entity: X
 Operation: C, Transaction: 4, Entity: -SV
 - Commit.
